bin,lo,hi,count,confidence,accuracy,gap,device,precision,variant
9,0.9,1.0,1,0.9315870404243469,1.0,0.06841295957565308,legion,int8,featureKD
0,0.0,0.1,52,0.08467086418890037,0.0,0.08467086418890037,legion,int8,featureHardKD
1,0.1,0.2,525,0.1562137948189463,0.11238095238095239,0.0438328424379939,legion,int8,featureHardKD
2,0.2,0.30000000000000004,419,0.24339879185032445,0.34844868735083534,0.10504989550051089,legion,int8,featureHardKD
3,0.30000000000000004,0.4,122,0.34021584982754755,0.39344262295081966,0.05322677312327212,legion,int8,featureHardKD
4,0.4,0.5,44,0.44392149082639,0.7272727272727273,0.2833512364463373,legion,int8,featureHardKD
5,0.5,0.6000000000000001,8,0.5216977298259735,1.0,0.4783022701740265,legion,int8,featureHardKD
6,0.6000000000000001,0.7000000000000001,0,,,,legion,int8,featureHardKD
7,0.7000000000000001,0.8,0,,,,legion,int8,featureHardKD
8,0.8,0.9,0,,,,legion,int8,featureHardKD
9,0.9,1.0,0,,,,legion,int8,featureHardKD
